rank,solarSystemName,regionName,SUM_factionKills,killsPerDay
0,UTDH-N,Feythabolis,437844,24324.6666667
1,ZDYA-G,Paragon Soul,413685,22982.5
2,U-FQ21,Outer Passage,392019,21778.8333333
3,85-B52,Deklein,367959,20442.1666667
4,S-DN5M,Deklein,348354,19353.0
5,DB1R-4,Feythabolis,344848,19158.2222222
6,ZZZR-5,Deklein,329565,18309.1666667
7,ZS-2LT,Feythabolis,325992,18110.6666667
8,YZ-UKA,Deklein,312570,17365.0
9,UVHO-F,Querious,289333,16074.0555556
10,UG-UWZ,Geminate,287470,15970.5555556
11,TZL-WT,Geminate,273777,15209.8333333
12,RYQC-I,Period Basis,268989,14943.8333333
13,Y-ZXIO,Vale of the Silent,265853,14769.6111111
14,O-N589,Paragon Soul,261220,14512.2222222
15,MVUO-F,Period Basis,260468,14470.4444444
16,NC-N3F,Deklein,259816,14434.2222222
17,M-VEJZ,Impass,255417,14189.8333333
18,X3-PBC,Deklein,253220,14067.7777778
19,UEJX-G,Deklein,250013,13889.6111111
